dam_name,longitude,latitude
"MOORE, CHARLES DAM",-91.338,39.1996
ROGERS LAKE DAM,-94.7821,39.4132
NORFOLK LAKE DAM/(DRY),-91.6605,39.1055
HERON LAKE DAM UPPER,-91.3516,38.9256
HOLLY LAKE DAM,-94.4431,39.2562
LAMERS LAKE DAM,-91.9628,39.0053
TURKEY FARM LAKE DAM,-92.1877,38.9688
ATKINSON LAKE DAM,-91.998,38.9382
VIRGINIA HOLDING CORP SOUTH LAKE DAM,-94.4732,39.2092
DAVIS LAKE DAM,-93.5505,40.0919
FORD LAKE DAM,-94.8647,39.9396
BISBEE LAKE DAM,-94.1171,39.3752
KELLEY LAKE DAM (DRY),-92.5222,39.4477
SIMMONS LAKE DAM,-94.1239,39.6264
PLATTE RIVER TRIB WATERSHED DAM  7-B,-94.5952,40.4905
DURGENS CREEK WATERSHED DAM 23,-91.5887,40.0314
DURGENS CREEK WATERSHED DAM 24,-91.5463,40.0344
PRAIRIE LEE LAKE DAM,-94.3309,38.9443
TABO CREEK WATERSHED DAM F-24,-93.7062,39.09
JOHNSON LAND DEVELOPMENT LAKE DAM,-93.8839,39.837
LAKE ROBIN HOOD DAM,-90.9871,38.6735
STEVENS LAKE DAM,-91.502,39.7655
LAKE VIKING DAM,-94.0567,39.9381
DUCE LAKE DAM,-94.3164,39.8454
COLEMANS VALLEY LAKE DAM,-93.728,37.9443
TABO CREEK WATERSHED DAM C-28,-93.855,39.14
MEADOW BROOK DAM,-92.0958,38.7011
LEISURE LAKE DAM,-93.7281,40.1105
WELLINGTON-NAPOLEON WATERSHED DAM K-21,-94.0849,39.0634
GOTTMAN DAM,-91.7064,39.745
HUNTER DAM,-90.4978,38.6645
VANDALIA COMMUNITY LAKE DAM,-91.538,39.237
ROBERT SCHULTE DAM,-90.7305,38.8513
PONY EXPRESS LAKE DAM,-94.3802,39.8047
LOST LAKE DAM,-90.8908,38.725
MEMPHIS RESERVOIR DAM,-92.2006,40.448
WATKINS LAKE DAM,-93.6844,40.25
CLARENCE JONES DAM,-94.7661,39.6176
102 RIVER TRIBUTARIES DAM  9,-94.8028,40.3763
EDINA RESERVOIR SECT-7 DAM,-92.1642,40.1841
BEAR LAKE DAM,-94.7445,39.691
AUGUST H FENCK SR DAM,-91.9846,39.1097
LITTLE SNI-A-BAR NO. 1,-93.904,39.068
MESERVEY LAKE DAM,-93.0795,40.0509
CARL DREYER LAKE DAM,-91.4865,38.9354
LANGOSCH LAKE DAM,-90.899,38.7228
WILLIAMS CREEK #4 DAM,-94.2758,39.3562
AUGUST A BUSCH LAKE #15 DAM,-90.7565,38.72
HINES LAKE DAM,-94.3718,39.1389
SCOTTY'S LAKE DAM,-94.9102,39.6358
AUGUST A BUSCH LAKE #51 DAM,-90.7321,38.7076
BASTIAN LAKE DAM,-91.9713,39.1049
RESERVOIR DAM,-92.7548,39.0184
LOST CR PILOT WATERSHED DAM G-1,-90.7932,39.1402
LAKE BAR H DAM,-94.4785,39.3247
PIKE LAKE DAM,-93.6739,39.9512
LOCK & DAM 24,-90.901,39.379
SPRING LAKE DAM,-92.6786,40.101
BROOKFIELD RESERVOIR DAM,-93.0509,39.7921
SWANSON LAKE DAM,-94.8199,39.6678
MISSISSIPPI RIVER DAM 20,-91.5149,40.1432
MARCELINE CITY RESERVOIR DAM,-92.9193,39.7222
GRINDSTONE-LOST-MUDDY WATERSHED DAM A-27,-94.3258,39.7496
OAK LAKE DAM,-92.623,40.1405
KRAUT RUN LAKE DAM,-90.7626,38.7362
CENTRAL COAL&COKE CORP LAKE DAM,-92.5465,39.7452
MISSOURI POWER AND LIGHT DAM,-91.8895,39.1547
SWAN LAKE DAM,-93.2149,39.6129
LUTTRELL FARMS DAM,-91.7546,40.1078
102 RIVER TRIBUTARIES DAM 12,-94.8048,40.3812
GREEN CITY DAM-SECT 18,-92.9623,40.2549
BOWLING GREEN DAM #1,-91.1536,39.3419
RUSK LAKE DAM,-93.3377,40.1299
PANTHER CREEK WATERSHED DAM D-  1,-93.8528,40.3897
MONONAME 572,-91.6201,39.3519
SANTA FE COUNTRY CLUB,-92.9613,39.7108
KATY LAKE DAM,-91.8879,38.6984
102 RIVER TRIB WTRSD STRCT # 4,-95.0126,40.2902
BRIDLESPUR LAKE DAM,-90.8268,38.7135
BOULANGER LAKE DAM,-91.105,38.8396
LOCKE LAKE DAM NORTH,-91.9747,39.1995
CEDAR GROVE DAM,-91.1943,38.7864
BIGGS LAKE DAM,-90.939,38.7975
RILEY LAKE DAM,-92.5627,39.5512
HALE LAKE DAM,-93.1597,39.9568
NIKO LAKE DAM,-91.1908,38.8174
ASPENHOFF LAKE DAM,-91.1507,38.7021
TABO CREEK WTRSHD E-28 DAM,-93.7061,39.1826
MCCULOUGH DAM,-92.4903,40.1662
FABICK LAKE DAM (DRY),-90.5403,38.4993
RIVER ACRES LAKE DAM,-91.4674,39.0021
MORRIS W L DAM,-91.4039,39.266
LAC PIETE DAM,-91.9789,38.8588
WERGES LAKE DAM,-91.5461,38.9827
APPRILL LAKE,-90.8439,38.7304
"KENDRICK,EVERT DAM",-91.9185,39.356
MONONAME 76,-92.1761,40.0785
EWING LAKE DAM,-91.7164,40.0203
LAWSON CITY LAKE DAM,-94.2031,39.4556
PLATTE RIVER TRIB WATERSHED DAM  5-B,-94.6256,40.491
LAKE TOM SAWYER DAM,-91.7925,39.4881
CAMERER DAM,-91.4168,39.2054
LOST CREEK #1,-90.8248,39.1178
THIEL LAKE DAM-EAST,-90.8925,39.3206
BEVILL DAM,-91.765,39.8365
KEETON'S LAKE DAM,-93.8577,37.9885
G7G CATTLE CO DAM WEST,-91.7111,38.8951
KING CITY NEW RESERVOIR DAM,-94.5077,40.0619
LAPLATA LAKE DAM,-92.4652,40.0188
STILL HILDRETH SANITORIUM DAM,-92.4706,39.7211
EISELE LAKE DAM,-91.5876,39.3358
FOREE LAKE DAM,-91.6091,39.2134
LAKE LA VERNE DAM,-94.768,40.1168
NOBLETT,-92.0972,36.9072
BUSCH WILDLIFE #37 DAM,-90.7917,38.7141
CITY OF LEWISTOWN DAM,-91.8188,40.0977
FOREST LAKE DAM,-92.1181,38.626
HOOD LAKE DAM,-92.3993,39.2439
ALBER LAKE DAM,-91.7125,40.4387
TABO CREEK E-24,-93.663,39.1484
LAKE HANNIBAL DAM,-91.5398,39.6687
ROTHWELL LAKE DAM,-92.462,39.4181
HANSON LAKE DAM,-93.3638,39.6451
LAKE SAINTE LOUISE DAM,-90.7905,38.8003
TABO CREEK WATERSHED DAM C-24,-93.7799,39.1199
DICKSON LAKE DAM,-93.15,40.1844
COATS LAKE DAM,-93.9845,39.0488
DICKSON LAKE DAM,-91.8334,39.9397
WELLINGTON NAP A-21,-93.9978,39.1264
STERLING PRICE LAKE DAM,-92.8437,39.4008
DOLAN DAM,-93.6954,40.2385
GILLIS LAKE DAM,-95.1716,40.1699
GLADES LAKE DAM,-91.5896,40.4223
CHARITY LAKE DAM,-95.5849,40.4757
TARPENING LAKE DAM,-92.9203,39.7198
CLARENCE CANNON MEM WATERSHED DAM  8,-90.8776,39.1985
LUECKE LAKE DAM,-91.013,39.1907
PROCTOR LAKE DAM,-94.428,39.3411
ROSSI LAKE DAM,-91.6355,40.2975
PENCE DAM,-93.4539,39.401
BEAR CREEK WATERSHED DAM D- 2,-91.9644,40.328
HOLTZCLAW LAKE DAM,-92.8484,38.9387
MOORE LAKE DAM,-94.3937,39.2275
BRUNS DAM,-92.0543,39.0929
TALBERT LAKE DAM,-91.4858,39.2785
HULEN LAKE WEST DAM,-92.3763,38.9407
PETERSEN LAKE -01,-92.6159,39.0795
SPRING CREEK RANCH DAM,-92.8525,40.321
"WETZEL, C.R. LAKE DAM",-93.182,39.7017
KELLER LAKE DAM,-91.5452,39.9154
C+S LAKE DAM,-92.9905,39.2892
CLITHERO LAKE DAM,-91.3849,39.1795
ROSS-MULVEHILL LAKE DAM,-90.8221,39.0278
DEIMEKE LAKE DAM,-91.9062,39.1945
DODGE LAKE DAM-SECT 5,-91.9302,39.6009
CLAYMONT WOODS LAKE DAM,-90.5495,38.6245
LAKE LU JUAN DAM,-93.1272,40.1861
SYDENSTRICKER DAM,-91.935,39.1197
CURTISS LAKE DAM,-93.4217,40.0672
LITTLE SNI-A-BAR CREEK DAM  4,-93.9008,39.0978
GRINDSTONE-LOST-MUDDY WATERSHED DAM B-22,-94.3829,39.8301
ESCHMAN LAKE DAM,-92.7919,40.1671
GLEN MEYER DAM,-95.0867,40.0409
BURK DAM,-92.5733,40.1435
TABO CREEK WATERSHED DAM E-38,-93.6602,39.1312
MURPHY LAKE DAM,-91.8158,40.2415
WALES LAKE DAM,-94.7007,39.7997
MARION LAKE DAM,-93.9465,40.4396
FOSTER LAKE DAM,-93.3377,39.6611
BROMMELSIECK LAKE DAM,-90.8059,38.7176
FOREST LAKE DAM,-92.6582,40.1696
GRINDSTONE-LOST-MUDDY WATERSHED DAM A-33,-94.2359,39.8395
SHELTON LAKE DAM,-94.9716,40.3293
DURGENS CREEK WATERSHED DAM 34,-91.6017,40.0546
DOGWOOD LAKE DAM,-91.142,38.7784
BERNDT LAKE DAM,-93.5389,40.4945
KERR DAM,-92.1291,40.4709
KOHL LAKE DAM-WEST,-91.4299,39.2882
WATKINS MILL STATE PARK DAM,-94.2632,39.3929
SHELBINA LAKE DAM,-92.0444,39.7259
HENDREN DAM,-94.4112,39.2762
PLATTE RIVER TRIB WATERSHED DAM  2-A,-94.6102,40.5325
AUGUST A BUSCH LAKE #7 DAM,-90.7938,38.7
LOVE LAKE DAM,-91.2233,39.4555
LAKELAND ESTATES LAKE DAM,-94.8096,39.8215
FIENUP LAKE DAM,-90.6056,38.6608
HOOVER FRANKUM WATERSHED A-11 DAM,-95.1503,40.4489
GARD LAKE DAM,-91.5048,39.8326
WELLINGTON NAP C-23,-94.0255,39.1237
CANYON LAKE UPPER DAM,-91.7783,38.8024
BEAR CREEK WATERSHED DAM C- 23,-92.006,40.3413
HOOVER-FRANKUM WATERSHED DAM B-23,-95.1185,40.4312
BUSCH WILDLIFE DAM #34,-90.7331,38.7263
YOUTSEY LAKE DAM,-94.0791,39.8768
THOMAS HILL RESERVOIR DAM,-92.6444,39.551
WILLOW CREEK WATERSHED DAM C- 21,-93.9629,39.2497
BROWNING LAKE,-92.1359,39.9205
LAWSON LAKE DAM,-90.9368,38.7118
HUNNEWELL LAKE DAM,-91.8619,39.7072
TABO CREEK WATERSHED DAM A-21,-93.7472,39.1149
CITY OF BETHANY DAM,-94.0311,40.3129
NODAWAY LAKE DAM,-94.858,40.4257
CROWDER DAM,-93.6602,40.0961
AUGUST A BUSCH LAKE #8 DAM,-90.7938,38.718
G&G CATTLE CO DAM EAST,-91.7063,38.8944
WELLINGTON NAP C-21,-94.0304,39.1215
CITY OF ATLANTA RESERVOIR DAM,-92.4881,39.8844
TRENTON LOWER LAKE DAM,-93.5886,40.0798
WISEMAN LAKE DAM,-91.9298,39.8717
IVAN STARBUCK,-92.4671,40.3958
BROYLES LAKE DAM,-93.4611,40.0201
BUCK-DOE RUN WTRSHD #6 DAM,-91.5389,40.1758
FARMLAND INDUSTRIES LAKE DAM,-94.8987,39.6473
STAPLES LAKE DAM,-91.6923,38.9214
WHITT LAKE DAM,-93.5884,40.2843
DR. J.W. WELL DAM,-91.7632,39.8602
SUGAR CREEK LAKE DAM,-92.4791,39.4736
TRI-CITY COMMUNITY LAKE DAM,-92.2088,39.1897
WELLINGTON-NAPOLEON WATERSHED DAM J-21,-94.1035,39.0656
LAKE SHERWOOD DAM,-90.9881,38.6638
SHELBYVILLE LAKE DAM,-92.0517,39.807
DEER RIDGE COMMUNITY LAKE DAM,-91.8276,40.1807
GURWIT LAKE DAM,-92.3854,39.1509
GRINDSTONE-LOST-MUDDY WATERSHED DAM C-63,-94.4413,40.0592
SEARS COMMUNITY LAKE DAM,-93.0767,40.2618
HEYEN LAKE DAM,-92.6428,39.2197
PANTHER CREEK A-1,-93.8921,40.3753
PARADISE LAKE,-94.8913,39.8948
SIX MILE LANE LAKE DAM,-94.4613,39.589
BARING & BARING LAKE DAM,-92.1995,40.2341
LOCK & DAM 25,-90.7047,39.0229
CATES DAM,-91.4764,38.9284
TENNEY-HALL DAM -MONONAME 27 DAM,-95.1892,40.1789
MCCARTY LAKE DAM,-93.7507,40.0331
COTTREL LAKE DAM,-94.2485,40.5435
BROOKFIELD DAM,-93.0274,39.7954
DURGENS CREEK WATERSHED DAM  5,-91.5782,40.0384
HOUSTON LAKE DAM,-94.618,39.1904
ALLEN LAKE DAM,-94.4292,39.3592
TAYLOR LAKE DAM LOWER,-92.6605,39.1699
TRENTON LAKE UPPER DAM,-93.5793,40.0794
THOMPSON LAKE DAM,-90.9248,38.7725
LATHROP LAKE AND FOREST CLUB DAM,-94.3085,39.586
MAURER LAKE DAM,-94.2201,39.3147
WELLINGTON-NAP WTRSHD F-21 DAM,-94.0836,39.1168
PANTHER CREEK WATERSHED DAM B- 13,-93.9152,40.3975
MACON LAKE DAM,-92.4941,39.7478
OFFUTT DAM,-92.0023,39.0598
LOST CR PILOT WATERSHED DAM E-2,-90.8166,39.1209
WORTH COUNTY COMMUNITY LAKE DAM,-94.5261,40.4008
G PITTS E-10 DAM,-93.8283,40.3564
SHADY OAKS LAKE DAM,-92.5356,39.2953
DURGENS CREEK WATERSHED DAM  4,-91.5805,40.0713
FAIRCHILD DAM,-91.7933,39.1719
MONONAME 144,-93.6515,39.1518
SMITH HATCHERY LAKE DAM,-92.3934,38.8497
MILNES LAKE DAM,-92.3713,39.2505
BREEN LAKE DAM,-94.7038,39.2441
TARPENING LAKE DAM EAST,-92.8757,39.7194
LONG BRANCH DAM,-92.5133,39.7516
BELL LAKE DAM,-94.5941,39.3541
LEISURE LAKE MAIN DAM,-91.8204,38.8979
GOLDEN EAGLE LAKE DAM,-91.3721,38.9211
ROGERS LAKE DAM,-91.8086,39.068
BEAR CREEK WATERSHED DAM D- 1,-91.9708,40.3231
PRATER DAM SOUTH,-92.0905,39.071
SPRING BRANCH FARM LAKE DAM,-90.8967,38.9949
KELLEY LAKE DAM,-94.7533,39.9644
UNIONVILLE OLD CITY LAKE DAM,-93.0235,40.4788
ROGERS LAKE DAM,-92.709,39.1546
102 RIVER TRIBUTARIES DAM # 13,-94.803,40.3706
OLD BOWLING GREEN RESERVOIR DAM,-91.1613,39.3426
HAHN LAKE DAM,-92.9408,39.7566
BERRY LAKE DAM,-93.4121,40.215
WILSON SOUTH LAKE DAM,-92.2676,39.7852
PANTHER CREEK WATERSHED DAM F- 10,-93.8649,40.382
COOK'S LAKE DAM,-93.4109,39.334
LIMPP LAKE DAM,-94.5388,40.063
STRODTMAN LAKE DAM,-92.8458,39.1727
BUCK & DOE RUN WATERSHED DAM 36,-91.5445,40.2445
102 RIVER TRIBUTARIES DAM 18,-94.8122,40.3593
LAKE MARIE DAM,-93.5527,40.4864
D BUIS B-11 DAM,-93.8907,40.3962
DURGENS CREEK WATERSHED DAM 28,-91.6501,40.0966
CLAPPER LAKE DAM,-91.8311,39.5953
WEST LAKE DAM,-92.4905,40.0612
OAKRIDGE ESTATES LAKE DAM,-90.6674,38.7826
RELIABLE CHEMICAL COMPANY LAKE DAM,-91.1726,39.1679
RENNER DAM,-91.9261,38.89
EMERT LAKE DAM,-90.9061,39.073
"APAC-KANSAS, INC LAKE DAM",-94.4248,39.5612
ANDERSON LAKE DAM,-93.4545,39.3688
LAKE FLAMINGO DAM,-94.7496,39.6645
MCKENZIE LAKE DAM,-92.2766,39.1233
LAKE CONCORD DAM,-94.4659,39.5561
PARK CHARLES SOUTH NO. 2,-90.6031,38.7613
LAKE WANDERFERN DAM,-91.0733,38.7667
CENTRAL STONE CO DAM,-91.5961,39.6493
HUMPHREY'S LAKE DAM,-93.325,40.1322
TARPENING LAKE DAM SOUTH WEST,-92.9205,39.7178
GREAT MIDWEST CORP -MONONAME 168,-94.4681,39.1678
LANCASTER CITY DAM,-92.546,40.5266
MILLERS LAKE DAM,-92.5816,39.496
BUCKMAN DAM,-91.9753,39.6693
FILKINS LAKE DAM,-92.6638,40.3073
STRONG & STEWART LAKE DAM,-93.2876,40.1209
LAKE WITTONA DAM,-93.7125,40.1024
EVE LAKE DAM,-92.0605,38.8477
TABO CREEK WATERSHED DAM E-29,-93.6741,39.1868
BAILEY LAKE DAM,-92.3312,39.1746
LAKE JACOMO DAM,-94.3078,38.9929
LIONS COMMUNITY PARK LAKE DAM,-93.5413,40.5227
VAUGHN DAM,-92.1036,38.9813
ROBERTSON LAKE DAM,-91.9385,40.3853
TABO CREEK WATERSHED DAM B-27,-93.8453,39.0665
WILLOW CREEK WATERSHED DAM A- 24B,-94.0158,39.2705
DURGENS CREEK WATERSHED DAM 33,-91.5903,40.0403
EAST FORK BIG CREEK DAM A- 40,-93.9768,40.4358
BUCK & DOE RUN WATERSHED DAM 39,-91.5289,40.1941
BUCK & DOE RUN SITE #3,-91.5624,40.2465
CRAIG LAKE DAM,-94.0219,40.3826
DODGE LAKE DAM-SECT 32,-91.9393,39.6043
BEAR CREEK WATERSHED DAM F- 20,-91.935,40.3372
BRANTNER LAKE DAM,-92.9653,40.0451
WILSON LAKE DAM,-92.0134,40.1955
HAGAN LAKE DAM,-92.2519,38.9691
SMART LAKE DAM,-94.758,39.2265
LAKE HANNIBAL ESTATES UPPER DAM,-91.5447,39.6682
BLACKBURN POND (MONONAME 209),-93.4813,39.1043
MILLER+SONS LAKE DAM,-92.1543,40.4125
WELCH LAKE DAM,-92.2435,38.9712
GRAY LAKE DAM,-94.7357,39.2676
HICKS LAKE DAM,-94.0166,39.5466
GOLDEN EAGLE LAKE DAM -UPPER,-91.3683,38.911
UPPER LAKE CHAPPERAL DAM,-92.2412,39.1518
CARTER LAKE DAM,-92.9498,40.2193
LAKE DONIPHAN DAM-LOWER,-94.1961,39.3237
ENOCH LAKE DAM,-94.7137,39.2008
DR CHARLES MARTIN DAM,-92.8956,39.7202
POLIZZI LAKE DAM,-91.5697,38.9524
BURLINGTON RESERVOIR DAM,-94.255,39.7167
EASTERDAY DAM,-91.5002,38.9159
MARTIN LAKE DAM,-92.3502,39.3197
CLARENCE CITY OLD LAKE,-92.2293,39.7489
EHRLICK LAKE DAM,-91.429,39.1332
GEISENDORFER LAKE DAM,-91.7607,40.1239
HELVEY PARK DAM,-94.5676,39.3829
ETHEL LAKE DAM,-92.7519,39.8872
BLACKMORE LAKE DAM,-91.8428,39.1738
BECHTEL DAM,-92.2482,40.5299
LAKE OF THE OAKS DAM,-91.6006,40.2673
CHRISTOFFERSON LAKE DAM,-90.8775,39.0746
COUNTY DOWNES LAKE DAM,-92.3462,39.0394
HIGBEE LAKE DAM,-92.5193,39.3046
KIRKSVILLE COUNTRY CLUB DAM,-92.5657,40.1686
HIGGINSVILLE SOUTH RESERVOIR DAM,-93.6704,39.061
GRINDSTONE-LOST-MUDDY WATERSHED DAM A-39,-94.2443,39.7958
HALL LAKE DAM,-93.4553,39.8433
WATKIN LAKE DAM,-93.6276,39.6482
KNITTEL LAKE DAM,-91.7407,38.8819
MCGINNESS LAKE DAM,-94.2999,39.5678
REID LAKE DAM,-91.1902,38.8325
SWAN LAKE LEVEE #2 DAM,-93.2133,39.5833
FOREST LAKE DAM,-91.0074,38.8379
HOLIDAY ACRES LAKE DAM,-92.5041,39.5597
HOOVER FRANKUM C-22,-95.1474,40.4159
KRUEGER LAKE DAM,-91.22,38.6803
WEATHERBY LAKE DAM,-94.7033,39.2285
LOWELL PIERCE DAM,-95.4825,40.3194
PLATTE RIVER SITE 1-B,-94.6115,40.5667
CITY OF BRECKENRIDGE DAM,-93.8069,39.7794
WOLLGAST LAKE DAM,-90.8547,39.0944
DEMITT LAKE DAM,-93.3746,39.7966
HOOVER-FRANKUM WATERSHED DAM A-23,-95.1333,40.4565
BULLAR LAKE DAM,-91.3506,38.8258
